Year,Crime Type ID,Crime Type,State ID,State,Value
2015,304,Incesto,18,Nayarit,0
2015,304,Incesto,19,Nuevo León,2
2015,304,Incesto,20,Oaxaca,0
2015,304,Incesto,21,Puebla,0
2015,304,Incesto,22,Querétaro,0
2015,304,Incesto,23,Quintana Roo,2
2015,304,Incesto,24,San Luis Potosí,0
2015,304,Incesto,25,Sinaloa,0
2015,304,Incesto,26,Sonora,0
2015,304,Incesto,27,Tabasco,0
2015,304,Incesto,28,Tamaulipas,2
2015,304,Incesto,29,Tlaxcala,0
2015,304,Incesto,30,Veracruz de Ignacio de la Llave,0
2015,304,Incesto,31,Yucatán,4
2015,304,Incesto,32,Zacatecas,2
2015,305,Violación Equiparada,1,Aguascalientes,82
2015,305,Violación Equiparada,2,Baja California,770
2015,305,Violación Equiparada,3,Baja California Sur,6
2015,305,Violación Equiparada,4,Campeche,70
2015,305,Violación Equiparada,5,Coahuila de Zaragoza,84
2015,305,Violación Equiparada,6,Colima,0
2015,305,Violación Equiparada,7,Chiapas,48
2015,305,Violación Equiparada,8,Chihuahua,446
2015,305,Violación Equiparada,9,Ciudad de México,132
2015,305,Violación Equiparada,10,Durango,4
2015,305,Violación Equiparada,11,Guanajuato,104
2015,305,Violación Equiparada,12,Guerrero,106
2015,305,Violación Equiparada,13,Hidalgo,0
2015,305,Violación Equiparada,14,Jalisco,12
